"","year","month","weekday","day","hour","weidu","jingdu","shendu","zhenji","diming","sheng","shi","qu","fujin.1","jingqu","dujiacun","chanyeyuan","louyu","jiudian","gongsi","gongchang","nongye","zhuzhai","shichang","shangyejie","yiyuan","xuexiao","wenhua"
"1",1971,3,"星期二",16,23,30.6,119.3,0,3.8,NA,"浙江省","湖州市","安吉县",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1975,4,"星期一",28,14,29.42,121.13,0,2.1,NA,"浙江省","绍兴市","新昌县",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"3",1976,2,"星期六",14,16,28.75,120.4,0,2.3,NA,"浙江省","台州市","仙居县",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1976,3,"星期二",30,13,28.65,121.32,0,2.4,NA,"浙江省","台州市","黄岩区",13,13,2,0,0,0,0,8,0,3,0,0,3,12,0
"5",1976,9,"星期三",15,23,30.15,120.32,0,2.4,NA,"浙江省","杭州市","萧山区",9,9,0,5,4,4,0,21,0,12,0,0,14,13,1
"6",1976,10,"星期一",18,10,29.67,122.17,0,2,NA,"浙江省","舟山市","普陀区",1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"7",1976,11,"星期三",24,12,28.5,120.1,0,2.1,NA,"浙江省","丽水市","莲都区",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1977,2,"星期一",7,13,29.9,119.7,0,2.6,NA,"浙江省","杭州市","富阳区",1,1,0,0,0,0,0,0,0,0,0,0,2,2,0
"9",1977,4,"星期五",15,6,30.37,120.4,0,2.7,NA,"浙江省","嘉兴市","海宁市",1,1,0,9,3,1,0,4,0,19,1,0,2,4,0
"10",1977,5,"星期四",19,11,29.9,121.8,0,2.4,NA,"浙江省","宁波市","北仑区",3,3,0,16,13,9,0,22,0,30,1,0,11,30,4
"11",1977,6,"星期日",5,9,29.65,119,0,2.1,NA,"浙江省","杭州市","淳安县",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"12",1977,9,"星期一",19,15,30.1,119.3,0,2,NA,"浙江省","杭州市","临安市",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13",1977,11,"星期六",5,2,30.2,121.22,0,3.6,NA,"浙江省","宁波市","慈溪市",5,5,0,5,5,1,0,21,0,30,0,0,16,30,8
"14",1978,6,"星期五",2,16,30.87,120.85,9,2.3,NA,"浙江省","嘉兴市","嘉善县",0,0,0,1,1,0,0,6,0,1,0,0,0,0,0
"15",1978,6,"星期二",6,4,29.88,119.42,0,3.3,NA,"浙江省","杭州市","桐庐县",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"16",1978,7,"星期四",27,16,29.9,121.9,0,2.2,NA,"浙江省","宁波市","北仑区",2,2,1,7,0,0,0,9,0,4,0,0,4,6,0
"17",1979,5,"星期六",19,14,30.2,120.12,0,2.2,NA,"浙江省","杭州市","西湖区",30,30,5,5,5,19,0,1,0,26,1,0,6,11,15
"18",1979,10,"星期日",7,14,28.58,118.92,0,3.4,NA,"浙江省","丽水市","遂昌县",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1980,8,"星期三",13,9,27.53,119,0,2.3,NA,"浙江省","丽水市","庆元县",0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"20",1982,4,"星期一",26,5,29,120.6,0,2.1,NA,"浙江省","金华市","磐安县",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1982,5,"星期六",22,23,28.58,118.95,0,3.2,NA,"浙江省","丽水市","遂昌县",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"22",1982,6,"星期六",19,14,28.58,118.92,2,2,NA,"浙江省","丽水市","遂昌县",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1982,12,"星期四",16,20,29.6,120.7,0,2.5,NA,"浙江省","绍兴市","嵊州市",1,1,1,0,1,0,0,5,1,1,0,0,2,3,0
"24",1982,12,"星期三",22,16,29.8,120.6,0,2.5,NA,"浙江省","绍兴市","柯桥区",1,1,1,0,1,0,0,0,0,0,0,0,1,3,0
"25",1983,3,"星期五",11,4,29.8,121.4,0,2.1,NA,"浙江省","宁波市","海曙区",7,7,0,4,0,1,0,13,0,14,3,0,10,8,1
"26",1983,3,"星期二",15,20,30,119.6,0,2.2,NA,"浙江省","杭州市","富阳区",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"27",1983,6,"星期二",28,19,28.57,118.92,0,2.8,NA,"浙江省","丽水市","遂昌县",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",1983,7,"星期三",20,13,30.2,121,0,2.1,NA,"浙江省","宁波市","余姚市",0,0,0,0,1,0,0,6,1,1,1,0,5,4,0
"29",1983,9,"星期四",22,13,30.3,121.1,0,2,NA,"浙江省","宁波市","慈溪市",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",1983,9,"星期四",29,12,30.3,121.1,0,2.4,NA,"浙江省","宁波市","慈溪市",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",1984,6,"星期一",18,13,30.62,119.9,15,2.8,NA,"浙江省","湖州市","德清县",13,13,1,0,0,1,0,0,0,2,0,0,0,2,0
"32",1984,6,"星期一",25,23,30.6,119.87,14,2.9,NA,"浙江省","湖州市","德清县",30,30,4,0,0,13,0,0,0,3,0,0,0,0,1
"33",1984,7,"星期五",6,12,29.85,121.38,16,2.8,NA,"浙江省","宁波市","海曙区",7,7,2,2,1,1,0,8,1,13,0,0,7,5,0
"34",1987,2,"星期一",16,8,30,121.2,0,2.5,NA,"浙江省","宁波市","余姚市",4,4,0,2,0,1,0,22,0,7,0,0,4,8,0
"35",1987,12,"星期六",12,21,29.48,119.27,0,2.2,NA,"浙江省","杭州市","建德市",3,3,1,0,30,14,0,0,0,30,1,0,13,30,10
"36",1988,4,"星期五",22,13,30.85,120.12,0,2,NA,"浙江省","湖州市","吴兴区",21,21,0,1,30,11,0,8,0,30,1,1,30,30,11
